Name,RNAseq 8h,RNAseq 24h,Prot 8h,Prot 24h
RNF213,Up,Up,Up,Up
SAMD9L,Up,Up,Up,Up
PARP10,Up,Up,Up,Up
APOBEC3B,Up,Up,Up,Up
DDX60L,Up,Up,Up,Up
MX2,Up,Up,Up,Up
USP18,Up,Up,Up,Up
IFITM2,Up,Up,Up,Up
IRF7,Up,Up,Up,Up
IFIT1,Up,Up,Up,Up
KATNA1,Up,Not regulated,Up,Not regulated
ISG15,Up,Up,Up,Up
AGRN,Up,Up,Up,Up
PLSCR1,Up,Up,Up,Up
CLN3,Up,Up,Up,Up
TDRD7,Up,Up,Up,Up
SPATS2L,Up,Up,Up,Up
ZNF107,Up,Up,Up,Up
CASP4,Up,Up,Up,Up
C2CD4A,Up,Up,Up,Up
BAZ1A,Up,Up,Up,Up
PSMB8,Up,Up,Up,Up
TAP2,Up,Up,Up,Up
HLA-C,Up,Up,Up,Up
HLA-E,Up,Up,Up,Up
PSMB10,Up,Up,Up,Up
SAMD9,Up,Up,Up,Up
TREX1,Up,Up,Up,Up
IRF9,Up,Up,Up,Up
TAPBP,Up,Up,Up,Up
APOBEC3G,Up,Up,Up,Up
PSMB9,Up,Up,Up,Up
AGO2,Down,Not regulated,Down,Not regulated
OLFM1,Down,Down,Down,Down
TYMP,Up,Up,Not regulated,Up
DGKG,Up,Up,Not regulated,Up
SP100,Up,Up,Not regulated,Up
CEACAM1,Up,Up,Not regulated,Up
FMR1,Up,Up,Not regulated,Up
NBN,Up,Up,Not regulated,Up
GNB4,Up,Up,Not regulated,Up
RND3,Up,Up,Not regulated,Up
MAX,Up,Up,Not regulated,Up
RPS6KC1,Up,Up,Not regulated,Up
STX17,Up,Up,Not regulated,Up
GPR180,Up,Up,Not regulated,Up
UTRN,Up,Up,Not regulated,Up
PDIA4,Up,Up,Not regulated,Up
WHAMM,Up,Up,Not regulated,Up
ERAP1,Up,Up,Not regulated,Up
PLEKHA7,Up,Up,Not regulated,Up
GTPBP2,Up,Up,Not regulated,Up
CNP,Up,Up,Not regulated,Up
UBA7,Up,Up,Not regulated,Up
RAB11FIP4,Down,Down,Not regulated,Down
SORL1,Down,Down,Not regulated,Down
CCDC88B,Not regulated,Down,Not regulated,Down
CPLX1,Not regulated,Down,Down,Down
LRRC45,Not regulated,Down,Not regulated,Down
PI4K2B,Up,Not regulated,Not regulated,Up
MAP2,Up,Not regulated,Not regulated,Up
ZBTB33,Up,Not regulated,Not regulated,Up
SPATA13,Up,Not regulated,Not regulated,Up
MIER1,Up,Not regulated,Not regulated,Up
