Gene name,ENS ID
RAB19,ENSG00000146955
RASSF6,ENSG00000169435
RBCK1,ENSG00000125826
RFX5,ENSG00000143390
RIPK1,ENSG00000137275
RNF213,ENSG00000173821
RSAD2,ENSG00000134321
SAMD9,ENSG00000205413
SAMD9L,ENSG00000177409
SAMHD1,ENSG00000101347
SLC25A28,ENSG00000155287
SLFN5,ENSG00000166750
SMG7,ENSG00000116698
SP110,ENSG00000135899
SPATS2L,ENSG00000196141
STARD5,ENSG00000172345
STAT1,ENSG00000115415
STAT2,ENSG00000170581
STAT3,ENSG00000168610
TAP1,ENSG00000168394
TAP2,ENSG00000204267
TAPBP,ENSG00000231925
TAPBPL,ENSG00000139192
TDRD7,ENSG00000196116
TMEM62,ENSG00000137842
TNFSF10,ENSG00000121858
TRAFD1,ENSG00000135148
TRANK1,ENSG00000168016
TREX1,ENSG00000213689
TRIM14,ENSG00000106785
TRIM21,ENSG00000132109
TRIM25,ENSG00000121060
TRIM26,ENSG00000234127
TRIM5,ENSG00000132256
TRIM56,ENSG00000169871
UBE2L6,ENSG00000156587
UNC93B1,ENSG00000110057
USP18,ENSG00000184979
USP25,ENSG00000155313
VAMP5,ENSG00000168899
ZC3HAV1,ENSG00000105939
ZNF107,ENSG00000196247
ZNFX1,ENSG00000124201
ACY3,ENSG00000132744
ANKFY1,ENSG00000185722
ANXA6,ENSG00000197043
ARMCX1,ENSG00000126947
ATXN7,ENSG00000163635
B3GALT1,ENSG00000172318
BIRC3,ENSG00000023445
BLZF1,ENSG00000117475
BTN2A1,ENSG00000112763
C4B,ENSG00000224389
CD47,ENSG00000196776
CD68,ENSG00000129226
CD74,ENSG00000019582
CDH1,ENSG00000039068
CEACAM1,ENSG00000079385
CHMP5,ENSG00000086065
CLIP3,ENSG00000105270
CNP,ENSG00000173786
CPEB2,ENSG00000137449
CXCL10,ENSG00000169245
DENND2D,ENSG00000162777
DGKG,ENSG00000058866
DNPEP,ENSG00000123992
ELF3,ENSG00000163435
ENDOD1,ENSG00000149218
ERAP1,ENSG00000164307
FAM3B,ENSG00000183844
FAM76A,ENSG00000009780
FAM83B,ENSG00000168143
FAM84B,ENSG00000168672
FGB,ENSG00000171564
FMR1,ENSG00000102081
FYCO1,ENSG00000163820
FYTTD1,ENSG00000122068
GALM,ENSG00000143891
GCA,ENSG00000115271
GMPR,ENSG00000137198
GNB4,ENSG00000114450
GPR180,ENSG00000152749
GTPBP1,ENSG00000100226
GTPBP2,ENSG00000172432
HABP2,ENSG00000148702
HLA-F,ENSG00000204642
HSPA5,ENSG00000044574
HTATIP2,ENSG00000109854
ID1,ENSG00000125968
IL22RA1,ENSG00000142677
INPP1,ENSG00000151689
IRF1,ENSG00000125347
IRF2,ENSG00000168310
KIAA1217,ENSG00000120549
LIPA,ENSG00000107798
LNPEP,ENSG00000113441
LRSAM1,ENSG00000148356
LYSMD2,ENSG00000140280
MAX,ENSG00000125952
MET,ENSG00000105976
MIA2,ENSG00000150526
MOB3C,ENSG00000142961
MOV10,ENSG00000155363
MT1E,ENSG00000169715
N4BP1,ENSG00000102921
NBN,ENSG00000104320
NFKBIA,ENSG00000100906
NUDCD1,ENSG00000120526
OCLN,ENSG00000197822
OTUD4,ENSG00000164164
PDIA4,ENSG00000155660
PLEKHA7,ENSG00000166689
PPP2R2A,ENSG00000221914
PRKCE,ENSG00000171132
PROCR,ENSG00000101000
PRPH,ENSG00000135406
PRR15,ENSG00000176532
PSME1,ENSG00000092010
PSME2,ENSG00000100911
PTK2B,ENSG00000120899
QKI,ENSG00000112531
RNASEL,ENSG00000135828
RND3,ENSG00000115963
RNF19B,ENSG00000116514
RNF31,ENSG00000092098
RPS6KC1,ENSG00000136643
S1PR2,ENSG00000267534
SECTM1,ENSG00000141574
SEMA6D,ENSG00000137872
SERPINB9,ENSG00000170542
SH3BGRL,ENSG00000131171
SHISA4,ENSG00000198892
SLC12A7,ENSG00000113504
SMCHD1,ENSG00000101596
SP100,ENSG00000067066
ST5,ENSG00000166444
STAP2,ENSG00000178078
STARD4,ENSG00000164211
STX17,ENSG00000136874
TANK,ENSG00000136560
TMEM27,ENSG00000147003
TMOD1,ENSG00000136842
TNFAIP3,ENSG00000118503
TNFRSF11A,ENSG00000141655
TTC39B,ENSG00000155158
TUBE1,ENSG00000074935
TYMP,ENSG00000025708
UBA6,ENSG00000033178
UBA7,ENSG00000182179
UBR2,ENSG00000024048
UHRF1BP1,ENSG00000065060
UTRN,ENSG00000152818
VCPIP1,ENSG00000175073
WARS,ENSG00000140105
WBP4,ENSG00000120688
WHAMM,ENSG00000156232
XRN1,ENSG00000114127
ZFYVE26,ENSG00000072121
ZNF267,ENSG00000185947
ACP2,ENSG00000134575
ADCY8,ENSG00000155897
ADPRH,ENSG00000144843
AGT,ENSG00000135744
AMBRA1,ENSG00000110497
ATP10D,ENSG00000145246
B3GNT5,ENSG00000176597
BACE2,ENSG00000182240
BAZ2A,ENSG00000076108
BBX,ENSG00000114439
BET1,ENSG00000105829
BIRC2,ENSG00000110330
BMPR2,ENSG00000204217
BRCA2,ENSG00000139618
BTN2A2,ENSG00000124508
C11ORF52,ENSG00000149300
C12ORF45,ENSG00000151131
CA11,ENSG00000063180
CALCOCO2,ENSG00000136436
CARS,ENSG00000110619
CDH6,ENSG00000113361
CDKL5,ENSG00000008086
CHMP4A,ENSG00000254505
CHORDC1,ENSG00000110172
CLIC5,ENSG00000112782
CLIP4,ENSG00000115295
CMC1,ENSG00000187118
CNNM1,ENSG00000119946
CORO2A,ENSG00000106789
CPNE4,ENSG00000196353
CTGF,ENSG00000118523
CTSO,ENSG00000256043
CWF19L1,ENSG00000095485
DCP1A,ENSG00000162290
DEPTOR,ENSG00000155792
DGKE,ENSG00000153933
EARS2,ENSG00000103356
ECE1,ENSG00000117298
EDEM2,ENSG00000088298
EPB41L2,ENSG00000079819
EXT1,ENSG00000182197
FAM110C,ENSG00000184731
FAM111A,ENSG00000166801
FAM46C,ENSG00000183508
FAM84A,ENSG00000162981
FBXO44,ENSG00000132879
FCHSD1,ENSG00000197948
FKBP11,ENSG00000134285
FRRS1,ENSG00000156869
GANC,ENSG00000214013
GCH1,ENSG00000131979
GCLM,ENSG00000023909
GCNT3,ENSG00000140297
GRAMD1C,ENSG00000178075
GRPR,ENSG00000126010
GSTO1,ENSG00000148834
HERC3,ENSG00000138641
HERPUD1,ENSG00000051108
HIRA,ENSG00000100084
HIST1H2BJ,ENSG00000124635
HIST2H2AA4,ENSG00000203812
HNF4G,ENSG00000164749
HPSE,ENSG00000173083
HSPA1L,ENSG00000204390
IFI30,ENSG00000216490
IKBKE,ENSG00000143466
IL18R1,ENSG00000115604
IL1RAP,ENSG00000196083
IMPA1,ENSG00000133731
IPO4,ENSG00000196497
IQGAP2,ENSG00000145703
IRF8,ENSG00000140968
IRS1,ENSG00000169047
JUN,ENSG00000177606
KAT2A,ENSG00000108773
KATNA1,ENSG00000186625
KRT8,ENSG00000170421
LACC1,ENSG00000179630
LAPTM4A,ENSG00000068697
LIPT1,ENSG00000144182
LMO2,ENSG00000135363
LRIG3,ENSG00000139263
LRP4,ENSG00000134569
LYN,ENSG00000254087
MAML2,ENSG00000184384
MAP2,ENSG00000078018
MAP2K6,ENSG00000108984
MAT2B,ENSG00000038274
MIER1,ENSG00000198160
MKNK1,ENSG00000079277
MLLT6,ENSG00000108292
MTMR10,ENSG00000166912
MVB12A,ENSG00000141971
NCALD,ENSG00000104490
NEK7,ENSG00000151414
NFKB2,ENSG00000077150
NLRC5,ENSG00000140853
NOD1,ENSG00000106100
NT5E,ENSG00000135318
NTNG2,ENSG00000196358
PANX1,ENSG00000110218
PDIA5,ENSG00000065485
PI4K2B,ENSG00000038210
PIM2,ENSG00000102096
PLCH1,ENSG00000114805
PLEKHF2,ENSG00000175895
PLEKHG1,ENSG00000120278
POU3F2,ENSG00000184486
PPA1,ENSG00000180817
PPFIA2,ENSG00000139220
PPIB,ENSG00000166794
PPIC,ENSG00000168938
PPP2R2B,ENSG00000156475
PPP2R5B,ENSG00000068971
PRKCQ,ENSG00000065675
PRRG4,ENSG00000135378
PRSS23,ENSG00000150687
PSMA5,ENSG00000143106
PXDC1,ENSG00000168994
RABGAP1L,ENSG00000152061
RAD9A,ENSG00000172613
RCN1,ENSG00000049449
RELL1,ENSG00000181826
RET,ENSG00000165731
RNASET2,ENSG00000026297
S100A6,ENSG00000197956
SCARB2,ENSG00000138760
SCLT1,ENSG00000151466
SCLY,ENSG00000132330
SDF2L1,ENSG00000128228
SEC61B,ENSG00000106803
SEPT6,ENSG00000125354
SETX,ENSG00000107290
SHROOM3,ENSG00000138771
SIK1,ENSG00000142178
SIX4,ENSG00000100625
SLC30A1,ENSG00000170385
SLC7A5,ENSG00000103257
SLC8A1,ENSG00000183023
SLFN11,ENSG00000172716
SMPD3,ENSG00000103056
SPATA13,ENSG00000182957
SPG11,ENSG00000104133
SPINK1,ENSG00000164266
ST14,ENSG00000149418
STK3,ENSG00000104375
TARS,ENSG00000113407
TICAM1,ENSG00000127666
TJP2,ENSG00000119139
TLK2,ENSG00000146872
TLN2,ENSG00000171914
TMEM179B,ENSG00000185475
TNS1,ENSG00000079308
TRIP12,ENSG00000153827
UBE2O,ENSG00000175931
USP42,ENSG00000106346
WDFY1,ENSG00000085449
WDR48,ENSG00000114742
XIAP,ENSG00000101966
YEATS2,ENSG00000163872
ZBTB33,ENSG00000177485
ZC3H12A,ENSG00000163874
ZNF503,ENSG00000165655
ZRSR2,ENSG00000169249
AASS,ENSG00000008311
ABCB1,ENSG00000085563
ABCC6,ENSG00000091262
ACAA1,ENSG00000060971
ACADS,ENSG00000122971
ACOT1,ENSG00000184227
ACOT7,ENSG00000097021
ACOT9,ENSG00000123130
ADD1,ENSG00000087274
ADPRHL2,ENSG00000116863
ADRA2A,ENSG00000150594
AGA,ENSG00000038002
AGR2,ENSG00000106541
AIDA,ENSG00000186063
AIFM2,ENSG00000042286
AKAP10,ENSG00000108599
ALS2,ENSG00000003393
ANAPC7,ENSG00000196510
ANK2,ENSG00000145362
ANKMY2,ENSG00000106524
ANO5,ENSG00000171714
ANO9,ENSG00000185101
ANXA2,ENSG00000182718
AP1G2,ENSG00000213983
AP2M1,ENSG00000161203
AP3B1,ENSG00000132842
AP4B1,ENSG00000134262
APBA1,ENSG00000107282
ARHGAP18,ENSG00000146376
ARHGEF5,ENSG00000050327
ARL5B,ENSG00000165997
ARMCX6,ENSG00000198960
ARPC5L,ENSG00000136950
ARSB,ENSG00000113273
ASCC3,ENSG00000112249
ASPHD1,ENSG00000174939
ASPHD2,ENSG00000128203
ATAD5,ENSG00000176208
ATOX1,ENSG00000177556
ATP6V0A1,ENSG00000033627
ATP6V1C2,ENSG00000143882
ATP6V1D,ENSG00000100554
ATP6V1H,ENSG00000047249
ATRIP,ENSG00000164053
B3GALNT1,ENSG00000169255
BCCIP,ENSG00000107949
BET1L,ENSG00000177951
BOLA3,ENSG00000163170
BRAP,ENSG00000089234
BRD2,ENSG00000204256
BRWD3,ENSG00000165288
BSCL2,ENSG00000168000
BTBD2,ENSG00000133243
C17ORF62,ENSG00000178927
C19ORF54,ENSG00000188493
C1GALT1C1,ENSG00000171155
C1ORF116,ENSG00000182795
C1ORF198,ENSG00000119280
C22ORF42,ENSG00000205856
C3ORF58,ENSG00000181744
C4ORF3,ENSG00000164096
C5ORF15,ENSG00000113583
C7ORF25,ENSG00000136197
C7ORF26,ENSG00000146576
CACNG5,ENSG00000075429
CADM3,ENSG00000162706
CALR,ENSG00000179218
CAMKMT,ENSG00000143919
CARD8,ENSG00000105483
CASKIN1,ENSG00000167971
CAST,ENSG00000153113
CASZ1,ENSG00000130940
CBWD2,ENSG00000136682
CBX4,ENSG00000141582
CCDC9,ENSG00000105321
CCDC90B,ENSG00000137500
CCDC91,ENSG00000123106
CCHCR1,ENSG00000204536
CCND3,ENSG00000112576
CCNL1,ENSG00000163660
CCSER1,ENSG00000184305
CD2AP,ENSG00000198087
CD36,ENSG00000135218
CD63,ENSG00000135404
CDC26,ENSG00000176386
CDCP1,ENSG00000163814
CDH16,ENSG00000166589
CDHR5,ENSG00000099834
CDK10,ENSG00000185324
CDKN1B,ENSG00000111276
CEP164,ENSG00000110274
CEP170,ENSG00000143702
CHCHD5,ENSG00000125611
CHCHD7,ENSG00000170791
CHD6,ENSG00000124177
CHD8,ENSG00000100888
CHIC2,ENSG00000109220
CIR1,ENSG00000138433
CKS1B,ENSG00000173207
CLIC4,ENSG00000169504
CLPTM1L,ENSG00000049656
CMC2,ENSG00000103121
CNEP1R1,ENSG00000205423
CNIH4,ENSG00000143771
CNN3,ENSG00000117519
COASY,ENSG00000068120
COG4,ENSG00000103051
COPB1,ENSG00000129083
COPG1,ENSG00000181789
COPS8,ENSG00000198612
CPQ,ENSG00000104324
CREM,ENSG00000095794
CRIM1,ENSG00000150938
CSNK1G1,ENSG00000169118
CTBS,ENSG00000117151
CTNNBL1,ENSG00000132792
CTTNBP2,ENSG00000077063
CUL4B,ENSG00000158290
CXCL12,ENSG00000107562
CYHR1,ENSG00000187954
CYLD,ENSG00000083799
CYP4V2,ENSG00000145476
DCAF10,ENSG00000122741
DCAF8,ENSG00000132716
DCBLD1,ENSG00000164465
DCTN1,ENSG00000204843
DDX24,ENSG00000089737
DDX31,ENSG00000125485
DECR1,ENSG00000104325
DENND4B,ENSG00000198837
DNAJC15,ENSG00000120675
DNAL1,ENSG00000119661
DNALI1,ENSG00000163879
DNASE2,ENSG00000105612
DOLK,ENSG00000175283
DPEP1,ENSG00000015413
DPH2,ENSG00000132768
DPY19L1,ENSG00000173852
DRAP1,ENSG00000175550
DTNA,ENSG00000134769
DYNC1H1,ENSG00000197102
ECHDC2,ENSG00000121310
EFR3A,ENSG00000132294
EIF4A2,ENSG00000156976
EIF4E,ENSG00000151247
EIF4E3,ENSG00000163412
ELAVL2,ENSG00000107105
ELK1,ENSG00000126767
ELOVL7,ENSG00000164181
EMB,ENSG00000170571
EMC7,ENSG00000134153
EMC9,ENSG00000100908
ENPP1,ENSG00000197594
EPB41L1,ENSG00000088367
EPB41L3,ENSG00000082397
ERCC2,ENSG00000104884
ERN1,ENSG00000178607
ERP44,ENSG00000023318
ESRRG,ENSG00000196482
EXOSC9,ENSG00000123737
EZH2,ENSG00000106462
EZR,ENSG00000092820
F2RL1,ENSG00000164251
F3,ENSG00000117525
FAAH2,ENSG00000165591
FAM109A,ENSG00000198324
FAM114A2,ENSG00000055147
FAM117A,ENSG00000121104
FAM135A,ENSG00000082269
FAM160B2,ENSG00000158863
FAM193A,ENSG00000125386
FAM45A,ENSG00000119979
FAM76B,ENSG00000077458
FAM83E,ENSG00000105523
FASTKD3,ENSG00000124279
FBXO28,ENSG00000143756
FBXO7,ENSG00000100225
FN1,ENSG00000115414
FNDC3B,ENSG00000075420
FNIP1,ENSG00000217128
FPGS,ENSG00000136877
FRAS1,ENSG00000138759
FRY,ENSG00000073910
GAB1,ENSG00000109458
GABPB1,ENSG00000104064
GALNT3,ENSG00000115339
GALT,ENSG00000213930
GATAD1,ENSG00000157259
GC,ENSG00000145321
GDI2,ENSG00000057608
GEN1,ENSG00000178295
GFOD2,ENSG00000141098
GFPT1,ENSG00000198380
GGA3,ENSG00000125447
GLCCI1,ENSG00000106415
GLCE,ENSG00000138604
GLIPR2,ENSG00000122694
GLRX,ENSG00000173221
GLUL,ENSG00000135821
GMIP,ENSG00000089639
GMPR2,ENSG00000100938
GNG5,ENSG00000174021
GNL3,ENSG00000163938
GON4L,ENSG00000116580
GOSR2,ENSG00000108433
GPBP1,ENSG00000062194
GPD2,ENSG00000115159
GPX2,ENSG00000176153
GRIK2,ENSG00000164418
GRIPAP1,ENSG00000068400
GRK5,ENSG00000198873
GSTK1,ENSG00000197448
GTF2F2,ENSG00000188342
H1F0,ENSG00000189060
H2AFX,ENSG00000188486
HAUS3,ENSG00000214367
HAUS4,ENSG00000092036
HERPUD2,ENSG00000122557
HEXDC,ENSG00000169660
HHAT,ENSG00000054392
HIBCH,ENSG00000198130
HIST1H1C,ENSG00000187837
HIST3H2BB,ENSG00000196890
HIVEP1,ENSG00000095951
HNF1A,ENSG00000135100
HNRNPLL,ENSG00000143889
HOOK2,ENSG00000095066
HSCB,ENSG00000100209
HSD3B7,ENSG00000099377
HSPA14,ENSG00000187522
HSPA1A,ENSG00000204389
IGFBP3,ENSG00000146674
IGFBP4,ENSG00000141753
IGSF8,ENSG00000162729
IKZF4,ENSG00000123411
IL13RA1,ENSG00000131724
IL6ST,ENSG00000134352
INA,ENSG00000148798
INTS12,ENSG00000138785
IPPK,ENSG00000127080
IRAK4,ENSG00000198001
IRF2BPL,ENSG00000119669
ITCH,ENSG00000078747
ITGA1,ENSG00000213949
ITGA6,ENSG00000091409
JUNB,ENSG00000171223
KARS,ENSG00000065427
KAT2B,ENSG00000114166
KBTBD2,ENSG00000170852
KCNA3,ENSG00000177272
KCNJ2,ENSG00000123700
KCNS3,ENSG00000170745
KCTD1,ENSG00000134504
KDM4A,ENSG00000066135
KDM6A,ENSG00000147050
KIAA0368,ENSG00000136813
KIAA1107,ENSG00000069712
KIAA1191,ENSG00000122203
KIAA1468,ENSG00000134444
KIF16B,ENSG00000089177
KLHL12,ENSG00000117153
KLHL41,ENSG00000239474
KMT2D,ENSG00000167548
KPNA5,ENSG00000196911
KRTCAP2,ENSG00000163463
LACTB,ENSG00000103642
LAMP2,ENSG00000005893
LAPTM4B,ENSG00000104341
LARS2,ENSG00000011376
LBH,ENSG00000213626
LIMA1,ENSG00000050405
LIMCH1,ENSG00000064042
LLPH,ENSG00000139233
LMO4,ENSG00000143013
LMO7,ENSG00000136153
LPIN1,ENSG00000134324
LRCH1,ENSG00000136141
LRRC20,ENSG00000172731
LSM4,ENSG00000130520
LSR,ENSG00000105699
LZTR1,ENSG00000099949
MAD1L1,ENSG00000002822
MADD,ENSG00000110514
MAF,ENSG00000178573
MAGEA6,ENSG00000197172
MAGED2,ENSG00000102316
MAGOHB,ENSG00000111196
MAGT1,ENSG00000102158
MAML1,ENSG00000161021
MAMLD1,ENSG00000013619
MANF,ENSG00000145050
MAP4K4,ENSG00000071054
MAPK12,ENSG00000188130
MAPK8IP2,ENSG00000008735
MARCKS,ENSG00000155130
MAST3,ENSG00000099308
MAT2A,ENSG00000168906
MBD1,ENSG00000141644
MCC,ENSG00000171444
MCL1,ENSG00000143384
ME2,ENSG00000082212
ME3,ENSG00000151376
METAP2,ENSG00000111142
METTL22,ENSG00000067365
MGRN1,ENSG00000102858
MICAL1,ENSG00000135596
MICAL3,ENSG00000243156
MICU3,ENSG00000155970
MID1,ENSG00000101871
MIS12,ENSG00000167842
MKNK2,ENSG00000099875
MLLT3,ENSG00000171843
MMAA,ENSG00000151611
MMP14,ENSG00000157227
MOB1A,ENSG00000114978
MPPE1,ENSG00000154889
MRPL17,ENSG00000158042
MRPL40,ENSG00000185608
MSRB1,ENSG00000198736
MTG2,ENSG00000101181
MTMR4,ENSG00000108389
MYCBP2,ENSG00000005810
MYL12A,ENSG00000101608
NASP,ENSG00000132780
NAT1,ENSG00000171428
NCOA3,ENSG00000124151
NDN,ENSG00000182636
NDOR1,ENSG00000188566
NDUFA9,ENSG00000139180
NDUFAF5,ENSG00000101247
NDUFS4,ENSG00000164258
NECAP1,ENSG00000089818
NEDD1,ENSG00000139350
NEDD4,ENSG00000069869
NEDD9,ENSG00000111859
NEO1,ENSG00000067141
NFASC,ENSG00000163531
NISCH,ENSG00000010322
NKTR,ENSG00000114857
NLGN2,ENSG00000169992
NME1-NME2,ENSG00000243678
NME7,ENSG00000143156
NMNAT2,ENSG00000157064
NOL7,ENSG00000225921
NQO2,ENSG00000124588
NRBP1,ENSG00000115216
NRIP1,ENSG00000180530
NSF,ENSG00000073969
NSL1,ENSG00000117697
NUCB1,ENSG00000104805
NUDT2,ENSG00000164978
NUDT4,ENSG00000173598
NUDT7,ENSG00000140876
OGDH,ENSG00000105953
OSBP2,ENSG00000184792
PABPC4,ENSG00000090621
PAK2,ENSG00000180370
PAM,ENSG00000145730
PAN2,ENSG00000135473
PAPD5,ENSG00000121274
PARD3,ENSG00000148498
PATL1,ENSG00000166889
PAX5,ENSG00000196092
PBDC1,ENSG00000102390
PDCD2L,ENSG00000126249
PDE4D,ENSG00000113448
PDE4DIP,ENSG00000178104
PDIA6,ENSG00000143870
PDXK,ENSG00000160209
PELO,ENSG00000152684
PFKFB4,ENSG00000114268
PFKP,ENSG00000067057
PGAP1,ENSG00000197121
PIH1D1,ENSG00000104872
PIK3CA,ENSG00000121879
PIK3R3,ENSG00000117461
PITPNM2,ENSG00000090975
PKN2,ENSG00000065243
PLGRKT,ENSG00000107020
PLOD2,ENSG00000152952
PLSCR4,ENSG00000114698
PLXNC1,ENSG00000136040
PMAIP1,ENSG00000141682
PODXL,ENSG00000128567
POGK,ENSG00000143157
POLDIP3,ENSG00000100227
POLM,ENSG00000122678
PPM1H,ENSG00000111110
PPP1R1A,ENSG00000135447
PPP2R2D,ENSG00000175470
PQLC3,ENSG00000162976
PRKRIP1,ENSG00000128563
PRMT3,ENSG00000185238
PRMT7,ENSG00000132600
PROX1,ENSG00000117707
PSAT1,ENSG00000135069
PSMA2,ENSG00000106588
PSMA3,ENSG00000100567
PSMA4,ENSG00000041357
PSMA6,ENSG00000100902
PSMA7,ENSG00000101182
PSMB2,ENSG00000126067
PSMB3,ENSG00000108294
PSMB4,ENSG00000159377
PSMC1,ENSG00000100764
PTGS2,ENSG00000073756
PTMS,ENSG00000159335
PTPN13,ENSG00000163629
PTPRK,ENSG00000152894
R3HCC1L,ENSG00000166024
RAB20,ENSG00000139832
RAB24,ENSG00000169228
RAB2B,ENSG00000129472
RAB39A,ENSG00000179331
RAB8B,ENSG00000166128
RABL2B,ENSG00000079974
RAD50,ENSG00000113522
RAE1,ENSG00000101146
RANGAP1,ENSG00000100401
RAP1GAP2,ENSG00000132359
RAPGEF2,ENSG00000109756
RBBP6,ENSG00000122257
RBM15,ENSG00000162775
RBM7,ENSG00000076053
RBX1,ENSG00000100387
RCOR3,ENSG00000117625
RERE,ENSG00000142599
RHBDD1,ENSG00000144468
RHBDD3,ENSG00000100263
RHOBTB1,ENSG00000072422
RHOC,ENSG00000155366
RHOG,ENSG00000177105
RIC8B,ENSG00000111785
RIMS2,ENSG00000176406
RIN2,ENSG00000132669
RMI2,ENSG00000175643
RNF114,ENSG00000124226
RNF7,ENSG00000114125
RPGR,ENSG00000156313
RPL11,ENSG00000142676
RPL28,ENSG00000108107
RPL31,ENSG00000071082
RPP21,ENSG00000241370
RPP40,ENSG00000124787
RPS6KA5,ENSG00000100784
RPS6KB1,ENSG00000108443
RPUSD4,ENSG00000165526
RRAGC,ENSG00000116954
RTKN,ENSG00000114993
RTN4,ENSG00000115310
RUSC1,ENSG00000160753
RWDD2B,ENSG00000156253
SARS2,ENSG00000104835
SCAMP1,ENSG00000085365
SCIN,ENSG00000006747
SCO1,ENSG00000133028
SEC23IP,ENSG00000107651
SEC31A,ENSG00000138674
SEC61G,ENSG00000132432
SEL1L,ENSG00000071537
SEMA3A,ENSG00000075213
SEMA4B,ENSG00000185033
SEMA4D,ENSG00000187764
SERPINB1,ENSG00000021355
SERPINH1,ENSG00000149257
SESN2,ENSG00000130766
SETD9,ENSG00000155542
SFI1,ENSG00000198089
SFMBT2,ENSG00000198879
SH2D4A,ENSG00000104611
SHC2,ENSG00000129946
SLC16A12,ENSG00000152779
SLC17A5,ENSG00000119899
SLC18B1,ENSG00000146409
SLC22A15,ENSG00000163393
SLC22A5,ENSG00000197375
SLC35A3,ENSG00000117620
SLC35B1,ENSG00000121073
SLC37A1,ENSG00000160190
SLC37A3,ENSG00000157800
SLC37A4,ENSG00000137700
SLC40A1,ENSG00000138449
SMARCA5,ENSG00000153147
SMARCD1,ENSG00000066117
SMG5,ENSG00000198952
SMPD1,ENSG00000166311
SMPD2,ENSG00000135587
SNAPC1,ENSG00000023608
SNX11,ENSG00000002919
SNX2,ENSG00000205302
SNX6,ENSG00000129515
SNX7,ENSG00000162627
SP2,ENSG00000167182
SPATA2,ENSG00000158480
SPINT2,ENSG00000167642
SPRY4,ENSG00000187678
SSR1,ENSG00000124783
SSTR1,ENSG00000139874
STK24,ENSG00000102572
